date,symbol,score
2024-02-07,amgn,0.057214
2024-02-07,amzn,0.057667
2024-02-07,axp,0.057667
2024-02-07,ba,0.055653
2024-02-07,cat,0.055653
2024-02-07,crm,0.055653
2024-02-07,csco,0.057667
2024-02-07,cvx,0.060284
2024-02-07,dis,0.057667
2024-02-07,gs,0.057667
2024-02-07,hd,0.055653
2024-02-07,hon,0.057667
2024-02-07,ibm,0.057789
2024-02-07,jnj,0.057667
2024-02-07,jpm,0.057667
2024-02-07,ko,0.057789
2024-02-07,mcd,0.057667
2024-02-07,mmm,0.060284
2024-02-07,mrk,0.055653
2024-02-07,msft,0.057667
2024-02-07,nke,0.057667
2024-02-07,nvda,0.057667
2024-02-07,pg,0.057667
2024-02-07,shw,0.057667
2024-02-07,trv,0.057667
2024-02-07,unh,0.055653
2024-02-07,v,0.057667
2024-02-07,vz,0.057789
2024-02-07,wmt,0.060284
2024-02-08,aapl,0.060284
2024-02-08,amgn,0.057667
2024-02-08,amzn,0.060284
2024-02-08,axp,0.057667
2024-02-08,ba,0.060284
2024-02-08,cat,0.057667
2024-02-08,crm,0.055653
2024-02-08,csco,0.057667
2024-02-08,cvx,0.057667
2024-02-08,dis,0.055653
2024-02-08,gs,0.057789
2024-02-08,hd,0.055653
2024-02-08,hon,0.057789
2024-02-08,ibm,0.057667
2024-02-08,jnj,0.057667
2024-02-08,jpm,0.057214
2024-02-08,ko,0.057789
2024-02-08,mcd,0.055653
2024-02-08,mmm,0.057789
2024-02-08,mrk,0.057214
2024-02-08,msft,0.057667
2024-02-08,nke,0.057667
2024-02-08,nvda,0.057667
2024-02-08,pg,0.057214
2024-02-08,shw,0.057667
2024-02-08,trv,0.057667
2024-02-08,unh,0.057667
2024-02-08,v,0.057214
2024-02-08,vz,0.057789
2024-02-08,wmt,0.057214
2024-02-09,aapl,0.060284
2024-02-09,amgn,0.057789
2024-02-09,amzn,0.055653
2024-02-09,axp,0.055653
2024-02-09,ba,0.060284
2024-02-09,cat,0.057667
2024-02-09,crm,0.055653
2024-02-09,csco,0.057667
2024-02-09,cvx,0.057214
2024-02-09,dis,0.055653
2024-02-09,gs,0.057214
2024-02-09,hd,0.057667
2024-02-09,hon,0.057667
2024-02-09,ibm,0.055653
2024-02-09,jnj,0.057667
2024-02-09,jpm,0.057789
2024-02-09,ko,0.057789
2024-02-09,mcd,0.057667
2024-02-09,mmm,0.057667
2024-02-09,mrk,0.057214
2024-02-09,msft,0.057667
2024-02-09,nke,0.057667
2024-02-09,nvda,0.057667
2024-02-09,pg,0.057214
2024-02-09,shw,0.055653
2024-02-09,trv,0.057667
2024-02-09,unh,0.057667
2024-02-09,v,0.057214
2024-02-09,vz,0.057789
2024-02-09,wmt,0.057214
2024-02-12,aapl,0.057789
2024-02-12,amgn,0.057667
2024-02-12,amzn,0.057667
2024-02-12,axp,0.057667
2024-02-12,ba,0.057667
2024-02-12,cat,0.057667
2024-02-12,crm,0.060284
2024-02-12,csco,0.057789
2024-02-12,cvx,0.057214
2024-02-12,dis,0.055653
2024-02-12,gs,0.055653
2024-02-12,hd,0.057667
2024-02-12,hon,0.057667
2024-02-12,ibm,0.057667
2024-02-12,jnj,0.057667
2024-02-12,jpm,0.060284
2024-02-12,ko,0.057667
2024-02-12,mcd,0.060284
2024-02-12,mmm,0.057667
2024-02-12,mrk,0.057789
2024-02-12,msft,0.057667
2024-02-12,nke,0.055653
2024-02-12,nvda,0.057667
2024-02-12,pg,0.057789
2024-02-12,shw,0.060284
2024-02-12,trv,0.057667
2024-02-12,unh,0.057667
2024-02-12,v,0.057214
2024-02-12,vz,0.057667
2024-02-12,wmt,0.057789
2024-02-13,aapl,0.057789
2024-02-13,amgn,0.057667
2024-02-13,amzn,0.057667
2024-02-13,axp,0.057667
2024-02-13,ba,0.057789
2024-02-13,cat,0.057789
2024-02-13,crm,0.060284
2024-02-13,csco,0.057789
2024-02-13,cvx,0.057214
2024-02-13,dis,0.057667
2024-02-13,gs,0.057214
2024-02-13,hd,0.057214
2024-02-13,hon,0.057667
2024-02-13,ibm,0.060284
2024-02-13,jnj,0.057789
2024-02-13,jpm,0.057214
2024-02-13,ko,0.057667
2024-02-13,mcd,0.057789
2024-02-13,mmm,0.057667
2024-02-13,mrk,0.057789
2024-02-13,msft,0.057214
2024-02-13,nke,0.060284
2024-02-13,nvda,0.057667
2024-02-13,pg,0.057789
2024-02-13,shw,0.057667
2024-02-13,trv,0.055653
2024-02-13,unh,0.057214
2024-02-13,v,0.057789
2024-02-13,vz,0.057667
2024-02-13,wmt,0.057214
2024-02-14,aapl,0.057789
2024-02-14,amgn,0.057667
2024-02-14,amzn,0.057667
2024-02-14,axp,0.057667
2024-02-14,ba,0.057789
2024-02-14,cat,0.057667
2024-02-14,crm,0.057667
2024-02-14,csco,0.057667
